,RH_mean,Temp_mean,RH_max,Temp_max,RH_min,Temp_min,RH_sd,Temp_sd,Datetime,site,soil_type,monitor_station,treatment,habitat
88,95.25032846715335,9.422496350364968,114.13799999999999,31.139,51.008,-0.917,15.533375599537354,7.647657015410292,2013-10-31 00:00:00,H,1,M2,H,C
89,46.75071428571429,16.649666666666672,69.283,37.069,16.765,-2.468,14.98254405159015,11.318135252482879,2013-04-30 00:00:00,H,1,M1,H,S
90,63.04897849462362,18.58025806451613,116.99600000000001,46.548,17.472,-1.966,27.188715932614425,10.079389313229111,2013-05-31 00:00:00,H,1,M1,H,S
91,29.22288888888889,27.311566666666657,69.854,51.035,13.917,5.053999999999999,10.60528151646391,11.191309326796642,2013-06-30 00:00:00,H,1,M1,H,S
92,34.48215591397851,31.05038709677422,100.639,52.031000000000006,8.87,15.573,20.761280138950703,10.152657513936505,2013-07-31 00:00:00,H,1,M1,H,S
93,39.79855376344085,28.51427419354841,112.37,51.533,9.596,12.569,31.143698660204702,10.224666902660283,2013-08-31 00:00:00,H,1,M1,H,S
94,95.02068888888888,19.19280555555557,117.406,40.063,41.196000000000005,2.548,15.132291744629043,6.839771043161724,2013-09-30 00:00:00,H,1,M1,H,S
95,92.94230656934305,9.323416058394164,118.62799999999999,27.578000000000003,45.059,-0.461,14.20814931782739,6.744538111166359,2013-10-31 00:00:00,H,1,M1,H,S
96,71.7567142857143,15.547999999999998,100.45700000000001,28.085,17.558,0.532,21.56148111488623,7.906277996383479,2013-04-30 00:00:00,H,1,M2,H,S
97,76.7084838709677,17.882129032258057,109.57,36.576,34.467,1.536,19.41336639485344,7.704431519061566,2013-05-31 00:00:00,H,1,M2,H,S
98,34.817416666666674,26.673344444444442,84.56,46.548,10.517999999999999,7.056,13.000590562381007,9.028139800677868,2013-06-30 00:00:00,H,1,M2,H,S
99,36.456833333333314,30.68793548387097,101.86399999999999,46.548,13.353,16.579,17.87667198059537,8.403823585766206,2013-07-31 00:00:00,H,1,M2,H,S
100,37.849096774193555,27.843306451612897,108.243,44.056999999999995,9.805,13.072000000000001,27.555741815970457,8.170128033510768,2013-08-31 00:00:00,H,1,M2,H,S
101,93.12899444444444,18.575261111111104,108.68700000000001,37.075,40.312,3.042,13.49855304370482,6.450121467275891,2013-09-30 00:00:00,H,1,M2,H,S
102,95.78356934306571,8.364240875912408,109.57,24.586,49.15,0.532,11.508672422284663,5.507401572543814,2013-10-31 00:00:00,H,1,M2,H,S
